original_summary_name,rephrased_summary_name,mbits,original_length,rephrased_length
summary_gpt4o_12_1,summary_gpt4o_41_1,88.03036867853234,552,2233
summary_gpt4o_12_1,summary_gpt4o_69_1,87.78853166044996,552,2969
summary_gpt4o_12_1,summary_gpt4o_14_1,115.22092112322994,552,674
summary_gpt4o_12_1,summary_gpt4o_77_1,84.32503650642002,552,2412
summary_gpt4o_12_1,summary_gpt4o_65_1,103.115028544624,552,2026
summary_gpt4o_12_1,summary_gpt4o_18_1,99.99916141609998,552,768
summary_gpt4o_12_1,summary_gpt4o_43_1,119.77146677344808,552,2308
summary_gpt4o_12_1,summary_gpt4o_20_1,92.94507501146006,552,694
summary_gpt4o_12_1,summary_gpt4o_120_1,97.6357472038476,552,3707
summary_gpt4o_12_1,summary_gpt4o_51_1,99.57598525130312,552,2140
summary_gpt4o_12_1,summary_gpt4o_32_1,89.55341061503759,552,1291
summary_gpt4o_12_1,summary_gpt4o_67_1,82.71867100293389,552,2589
summary_gpt4o_12_1,summary_gpt4o_79_1,113.45396857717992,552,3494
summary_gpt4o_12_1,summary_gpt4o_75_1,94.94350194572462,552,3110
summary_gpt4o_12_1,summary_gpt4o_16_1,95.80506574655,552,889
summary_gpt4o_12_1,summary_gpt4o_186_1,49.84493386030226,552,8438
summary_gpt4o_12_1,summary_gpt4o_86_1,80.78715017447917,552,3016
summary_gpt4o_12_1,summary_gpt4o_194_1,72.5233268829802,552,5161
summary_gpt4o_12_1,summary_gpt4o_4_1,29.678376611419974,552,330
summary_gpt4o_12_1,summary_gpt4o_8_1,70.53327832060097,552,617
summary_gpt4o_12_1,summary_gpt4o_191_1,69.42003813025622,552,7015
summary_gpt4o_12_1,summary_gpt4o_183_1,102.74984229572784,552,3384
summary_gpt4o_12_1,summary_gpt4o_83_1,110.14831265067755,552,2641
summary_gpt4o_12_1,summary_gpt4o_37_1,105.7593320420699,552,2012
summary_gpt4o_12_1,summary_gpt4o_54_1,90.97396396905992,552,2625
summary_gpt4o_12_1,summary_gpt4o_29_1,128.94808459666007,552,1192
summary_gpt4o_12_1,summary_gpt4o_58_1,90.99133611426193,552,2431
summary_gpt4o_12_1,summary_gpt4o_25_1,83.84500542655394,552,1170
summary_gpt4o_12_1,summary_gpt4o_46_1,102.813581909577,552,1962
summary_gpt4o_12_1,summary_gpt4o_13_1,90.60527476944004,552,833
summary_gpt4o_12_1,summary_gpt4o_70_1,105.11439212721916,552,2792
summary_gpt4o_12_1,summary_gpt4o_170_1,76.70905765562884,552,4716
summary_gpt4o_12_1,summary_gpt4o_62_1,95.10132129612794,552,1947
summary_gpt4o_12_1,summary_gpt4o_44_1,97.9392394893962,552,1696
summary_gpt4o_12_1,summary_gpt4o_39_1,85.71669890306293,552,2048
summary_gpt4o_12_1,summary_gpt4o_27_1,95.92884240453292,552,1517
summary_gpt4o_12_1,summary_gpt4o_56_1,86.01933241191318,552,2221
summary_gpt4o_12_1,summary_gpt4o_48_1,91.48149961717286,552,2356
summary_gpt4o_12_1,summary_gpt4o_35_1,104.953904113372,552,1337
summary_gpt4o_12_1,summary_gpt4o_160_1,107.03274665761388,552,2963
summary_gpt4o_12_1,summary_gpt4o_60_1,85.71387975803327,552,2457
