summary_name,excluded_summary_name,text_length,mbits
summary_gpt4o_73_1,summary_gpt4o_54_1,2557,501.95010114280757
summary_gpt4o_73_1,summary_gpt4o_13_1,2557,169.13799554054668
summary_gpt4o_73_1,summary_gpt4o_170_1,2557,522.322274131222
summary_gpt4o_73_1,summary_gpt4o_62_1,2557,399.7451153373638
summary_gpt4o_73_1,summary_gpt4o_140_1,2557,473.36326127128564
summary_gpt4o_73_1,summary_gpt4o_23_1,2557,260.4446167943445
summary_gpt4o_73_1,summary_gpt4o_66_1,2557,508.8288740107076
summary_gpt4o_73_1,summary_gpt4o_42_1,2557,461.38784689465456
summary_gpt4o_73_1,summary_gpt4o_33_1,2557,344.620542752098
summary_gpt4o_38_1,summary_gpt4o_100_1,1430,387.79863106997
summary_gpt4o_38_1,summary_gpt4o_28_1,1430,254.34780102690007
summary_gpt4o_38_1,summary_gpt4o_180_1,1430,376.30330533072197
summary_gpt4o_38_1,summary_gpt4o_73_1,1430,355.35702071058006
summary_gpt4o_38_1,summary_gpt4o_49_1,1430,305.11266733708004
summary_gpt4o_38_1,summary_gpt4o_3_1,1430,35.094922858480025
summary_gpt4o_38_1,summary_gpt4o_69_1,1430,305.49343674226
summary_gpt4o_38_1,summary_gpt4o_18_1,1430,170.51938115046
summary_gpt4o_38_1,summary_gpt4o_75_1,1430,340.645223715107
summary_gpt4o_38_1,summary_gpt4o_186_1,1430,340.99793058676204
summary_gpt4o_38_1,summary_gpt4o_8_1,1430,119.92807448307498
summary_gpt4o_38_1,summary_gpt4o_83_1,1430,399.0865133676
summary_gpt4o_38_1,summary_gpt4o_54_1,1430,311.08832389898
summary_gpt4o_38_1,summary_gpt4o_13_1,1430,165.87325824615004
summary_gpt4o_38_1,summary_gpt4o_170_1,1430,343.370181682374
summary_gpt4o_38_1,summary_gpt4o_62_1,1430,311.89963231879
summary_gpt4o_38_1,summary_gpt4o_140_1,1430,349.96255593523995
summary_gpt4o_38_1,summary_gpt4o_23_1,1430,287.84673720993
summary_gpt4o_38_1,summary_gpt4o_66_1,1430,357.928198565882
summary_gpt4o_38_1,summary_gpt4o_42_1,1430,334.35164551292996
summary_gpt4o_38_1,summary_gpt4o_33_1,1430,328.51839542090994
summary_gpt4o_49_1,summary_gpt4o_100_1,1886,498.795525294021
summary_gpt4o_49_1,summary_gpt4o_28_1,1886,261.83994874955107
summary_gpt4o_49_1,summary_gpt4o_180_1,1886,425.921009975559
summary_gpt4o_49_1,summary_gpt4o_73_1,1886,441.85658888417254
summary_gpt4o_49_1,summary_gpt4o_38_1,1886,282.82365952929456
summary_gpt4o_49_1,summary_gpt4o_3_1,1886,33.87656591569999
summary_gpt4o_49_1,summary_gpt4o_69_1,1886,403.39766546723774
summary_gpt4o_49_1,summary_gpt4o_18_1,1886,165.53998077033003
summary_gpt4o_49_1,summary_gpt4o_75_1,1886,435.5230135292335
summary_gpt4o_49_1,summary_gpt4o_186_1,1886,433.8281612981727
summary_gpt4o_49_1,summary_gpt4o_8_1,1886,101.71604490792495
summary_gpt4o_49_1,summary_gpt4o_83_1,1886,492.49594755476005
summary_gpt4o_49_1,summary_gpt4o_54_1,1886,409.843275752767
summary_gpt4o_49_1,summary_gpt4o_13_1,1886,143.64589445194997
summary_gpt4o_49_1,summary_gpt4o_170_1,1886,417.4377216630302
summary_gpt4o_49_1,summary_gpt4o_62_1,1886,366.853703907065
summary_gpt4o_49_1,summary_gpt4o_140_1,1886,401.2090446447801
