tag,kind,context_id,context_len,target_id,n_keypoints,target_len,mbits,rate
1000,recall,3,998,summary_gpt4o_17_1,17,845,76.16556433807,0.07631820073954909
1000,brief,brief_3,618,summary_gpt4o_17_1,17,845,71.77589546500002,0.11614222567152106
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_18_1,18,768,142.67176925391004,0.14633001974760004
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_18_1,18,768,116.69480752306998,0.1846436827896677
1000,recall,3,998,summary_gpt4o_18_1,18,768,63.24909494611006,0.06337584663938885
1000,brief,brief_3,618,summary_gpt4o_18_1,18,768,53.092827777895025,0.08591072455970068
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_19_1,19,884,171.60469938586027,0.17600481988293362
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_19_1,19,884,102.34966552736496,0.16194567330279266
1000,recall,3,998,summary_gpt4o_19_1,19,884,54.359610710725974,0.054468547806338655
1000,brief,brief_3,618,summary_gpt4o_19_1,19,884,53.14933103274495,0.08600215377466822
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_20_1,20,694,166.662608185556,0.17093600839544204
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_20_1,20,694,115.08726943528796,0.18210010986596198
1000,recall,3,998,summary_gpt4o_20_1,20,694,83.05628029293297,0.08322272574442181
1000,brief,brief_3,618,summary_gpt4o_20_1,20,694,71.71447921493939,0.11604284662611551
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_21_1,21,1139,85.60682512202368,0.08780187192002428
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_21_1,21,1139,88.49594836509766,0.14002523475490136
1000,recall,3,998,summary_gpt4o_21_1,21,1139,90.32565077496554,0.09050666410317189
1000,brief,brief_3,618,summary_gpt4o_21_1,21,1139,81.64843037411526,0.1321172012526137
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_22_1,22,1264,206.975579672384,0.21228264581782974
