summary_name,recall_id,text_length,mbits
summary_gpt4o_100_1,50,3163,-5.412421661600021
summary_gpt4o_100_1,43,3163,31.46398537279998
summary_gpt4o_100_1,57,3163,38.760556915600006
summary_gpt4o_100_1,76,3163,25.769592675499986
summary_gpt4o_100_1,36,3163,7.833756557039962
summary_gpt4o_100_1,26,3163,44.82148341312999
summary_gpt4o_100_1,63,3163,29.661697448400005
summary_gpt4o_100_1,16,3163,16.430423451799992
summary_gpt4o_100_1,24,3163,85.01336480520003
summary_gpt4o_100_1,90,3163,75.23217196923001
summary_gpt4o_100_1,10,3163,40.36876872959999
summary_gpt4o_100_1,77,3163,100.45675493587997
summary_gpt4o_100_1,46,3163,102.76982820645999
summary_gpt4o_100_1,78,3163,36.621563817199984
summary_gpt4o_100_1,59,3163,126.2985125421
summary_gpt4o_100_1,39,3163,67.61748116530002
summary_gpt4o_100_1,49,3163,134.26166873275997
summary_gpt4o_100_1,74,3163,36.81747881910002
summary_gpt4o_100_1,44,3163,148.34405511137
summary_gpt4o_100_1,84,3163,146.83033707979
summary_gpt4o_100_1,89,3163,129.32830396875
summary_gpt4o_100_1,37,3163,145.99725355737
summary_gpt4o_100_1,15,3163,223.99388305902
summary_gpt4o_100_1,98,3163,314.31156961551
summary_gpt4o_28_1,50,1209,5.5432727514160245
summary_gpt4o_28_1,43,1209,41.585893815192996
summary_gpt4o_28_1,57,1209,38.07304948909503
summary_gpt4o_28_1,76,1209,20.963980429589984
summary_gpt4o_28_1,36,1209,15.412954461620018
summary_gpt4o_28_1,26,1209,58.910928235217014
summary_gpt4o_28_1,63,1209,40.10586744242001
summary_gpt4o_28_1,16,1209,21.876765152957002
summary_gpt4o_28_1,24,1209,65.877285471248
summary_gpt4o_28_1,90,1209,60.69927815758649
summary_gpt4o_28_1,10,1209,76.59929961051498
summary_gpt4o_28_1,77,1209,134.11063261835403
summary_gpt4o_28_1,46,1209,97.60434930929603
summary_gpt4o_28_1,78,1209,28.19156644046001
summary_gpt4o_28_1,59,1209,70.60794672619699
summary_gpt4o_28_1,39,1209,71.13926113005901
summary_gpt4o_28_1,49,1209,80.48886885881002
summary_gpt4o_28_1,74,1209,47.25024126806603
summary_gpt4o_28_1,44,1209,61.03994551297103
summary_gpt4o_28_1,84,1209,104.06057267481202
summary_gpt4o_28_1,89,1209,75.34289834303601
summary_gpt4o_28_1,37,1209,75.1791330899381
summary_gpt4o_28_1,15,1209,159.7378064210823
summary_gpt4o_28_1,98,1209,160.20025825135002
summary_gpt4o_180_1,50,3199,-1.2549283202199613
summary_gpt4o_180_1,43,3199,51.679843397950066
summary_gpt4o_180_1,57,3199,42.816460904794056
summary_gpt4o_180_1,76,3199,55.87971238672006
summary_gpt4o_180_1,36,3199,10.01679368838006
summary_gpt4o_180_1,26,3199,46.76958359636202
summary_gpt4o_180_1,63,3199,27.30587358485
summary_gpt4o_180_1,16,3199,16.659856003306036
summary_gpt4o_180_1,24,3199,98.62864571289705
summary_gpt4o_180_1,90,3199,72.04453385812803
summary_gpt4o_180_1,10,3199,67.19589120257463
summary_gpt4o_180_1,77,3199,105.69948905771501
summary_gpt4o_180_1,46,3199,135.21128233182102
summary_gpt4o_180_1,78,3199,53.19380188734203
summary_gpt4o_180_1,59,3199,123.47214838123001
summary_gpt4o_180_1,39,3199,96.30369450533802
summary_gpt4o_180_1,49,3199,118.36541680482807
summary_gpt4o_180_1,74,3199,68.28896991873005
summary_gpt4o_180_1,44,3199,137.17944395703404
summary_gpt4o_180_1,84,3199,161.84588502239555
summary_gpt4o_180_1,89,3199,128.69153600443803
summary_gpt4o_180_1,37,3199,146.7045298016637
summary_gpt4o_180_1,15,3199,235.07815850701357
summary_gpt4o_180_1,98,3199,296.77181348229504
summary_gpt4o_73_1,50,2557,-8.94634465280198
summary_gpt4o_73_1,43,2557,60.88482546606802
summary_gpt4o_73_1,57,2557,41.35806761374001
summary_gpt4o_73_1,76,2557,54.34983523674301
summary_gpt4o_73_1,36,2557,23.987420532334
summary_gpt4o_73_1,26,2557,77.368742458225
summary_gpt4o_73_1,63,2557,53.44365147586298
summary_gpt4o_73_1,16,2557,34.15892296073297
summary_gpt4o_73_1,24,2557,97.871209554732
summary_gpt4o_73_1,90,2557,95.172237412955
summary_gpt4o_73_1,10,2557,92.71877557537101
summary_gpt4o_73_1,77,2557,136.55471939909899
summary_gpt4o_73_1,46,2557,126.953863611786
summary_gpt4o_73_1,78,2557,58.77025684129299
summary_gpt4o_73_1,59,2557,126.401893349597
summary_gpt4o_73_1,39,2557,91.58187487875398
summary_gpt4o_73_1,49,2557,139.932088219994
summary_gpt4o_73_1,74,2557,85.85164228573403
summary_gpt4o_73_1,44,2557,99.7962848428737
summary_gpt4o_73_1,84,2557,180.716739782655
summary_gpt4o_73_1,89,2557,116.405777488077
summary_gpt4o_73_1,37,2557,144.1499723687872
summary_gpt4o_73_1,15,2557,217.1776801344441
summary_gpt4o_73_1,98,2557,299.74734994574806
summary_gpt4o_38_1,50,1430,19.269879107479998
summary_gpt4o_38_1,43,1430,49.06007353457999
summary_gpt4o_38_1,57,1430,50.97367329628
summary_gpt4o_38_1,76,1430,33.68945559238001
summary_gpt4o_38_1,36,1430,29.610363434979988
summary_gpt4o_38_1,26,1430,48.84207984928
summary_gpt4o_38_1,63,1430,33.502896288079995
summary_gpt4o_38_1,16,1430,45.89307459798002
summary_gpt4o_38_1,24,1430,80.05418921317997
summary_gpt4o_38_1,90,1430,57.180070226790015
summary_gpt4o_38_1,10,1430,80.63276915047996
summary_gpt4o_38_1,77,1430,92.62008042167999
summary_gpt4o_38_1,46,1430,113.497077440676
summary_gpt4o_38_1,78,1430,55.461528354420025
