threshold_chars,n_points,n_unique_x,small_A,small_B,small_x_t,small_c,middle_A,middle_B,middle_x_t,middle_c,big_A,big_B,big_x_t,big_c
0,226,217,0.08920388294538206,22.76816004475427,1338.999990129197,142.2121584281069,0.04638544070886696,26.73465052550591,2163.7857152477122,127.10280452682196,-0.007605045031342177,27.38630414493175,3942.999999999981,-2.6003884136503075
200,225,216,0.08777599244246768,24.54238510156849,1339.07149640873,142.08071465026507,0.04641030779815985,26.69565808735045,2163.466505567569,127.10280452175064,-0.007678244701397798,27.546036804592237,3942.999999999454,-2.729282053015087
400,210,203,0.046826299815642715,61.65264536789963,1779.0004135779043,144.95665210625097,0.04337264861838442,30.497758615810753,2263.446908100214,128.66944602720997,-0.008630818685457306,29.656573827732036,3942.9999999999995,-4.374744249026119
600,199,192,0.03751399420068244,74.49903502562205,1879.9998628941892,145.02533897951844,0.046049227853797566,27.322845919098118,2164.0019698121437,126.97346570304428,-0.009473950887950689,31.58878139472825,3942.999999999813,-5.7670069564595465
800,180,174,0.02608923040511936,90.5024184495195,2149.0005359885345,146.56818857364937,0.03766092487325652,39.28498398671761,2449.000263249592,131.51659891554596,-0.009600783708554416,31.879258272776347,3942.9999999999977,-5.976631890053696
1000,166,161,0.027135956462863334,89.04730650987064,2107.0015836515677,146.22280975102368,0.03467508093443122,45.24711346668086,2486.4172224573176,131.46383189215203,-0.009749452053367663,32.23863784749954,3942.999999999998,-6.203451598929142
1200,150,147,0.020712278667347175,100.3174120580628,2243.9991860916452,146.7957485296932,0.032913772577261115,48.90443228149506,2508.3541954591497,131.46383181405628,-0.010398489494455225,33.872615567116064,3942.9999999994698,-7.128628509515373
1400,137,134,0.026347468610131965,89.7771640550211,2149.0018548332214,146.39792296835478,0.054562627653512774,10.102138795615971,2144.3719681614143,127.10470804503757,-0.010956467622109618,35.311941491993096,3942.9999999999995,-7.889410341985126
1600,125,122,0.02719415147380115,86.39479674462568,2239.999925727875,147.30969402617285,0.03203470580187126,50.95106521038692,2513.2981453800785,131.4638318900264,-0.011083265413682314,35.63786322178147,3942.9999999999995,-8.063452304367885
1800,109,106,0.011315682649342245,119.58784002213271,2445.994647434634,147.2659392144928,0.015755573494346208,87.82705545148849,2766.027244852678,131.4074009951288,-0.01292988388805762,40.71554531967993,3942.9999999999704,-10.266986850930884
2000,89,87,0.01681644782903178,106.65935535917052,2441.9997752273603,147.72511717778875,0.026042544145287137,64.37428004035459,2545.000045654341,130.65255607906556,-0.013590844702334825,42.60635012202385,3942.9999999999372,-10.982350539281512
2200,67,65,0.009353333077080497,122.73006992188775,2766.000066619847,148.60138983621002,0.05104843614957941,4.187988449969787,2493.236875285103,131.46383188373824,-0.013863439059269254,43.49285568157952,3942.9999999996085,-11.170684529113721
2400,46,45,-0.013060410307666203,186.0795141758049,3942.9999999999714,134.5823163326774,-0.013825012712224121,167.8063542846359,2639.00000468562,131.32214567229767,-0.022204296131635173,67.51661709527343,3327.0000162290594,-6.3570764950316345
2600,30,30,-0.030007317843786834,240.8000005331061,3503.9997910783013,135.65436507765685,-0.01765969312712112,184.97591317008397,3942.9999999999673,115.34374316984598,-0.02795864678317626,84.86925766123143,3284.000010617497,-6.9469386715702655
2800,21,21,-0.09588227485315376,441.2528423206613,3180.490526200393,136.30017551966353,-0.05936766004706344,318.9613612776763,3424.026463231767,115.6849222163838,-0.03146300798499528,95.80417423119204,3283.9999682443818,-7.52034299240519
3000,16,16,-0.09399224951123086,434.1549390107281,3169.0029469285887,136.29322332119034,-0.036284213295769405,243.58866975695338,3490.9998327204135,116.92048721103059,-0.03790100421235309,116.15603853147347,3271.278061989336,-7.828685075762607
3200,9,9,-0.036154976158357235,260.058962654735,3491.0000095270766,133.84194054145865,-0.004127097532267359,130.5072502298182,3490.999477610811,116.09955490062399,0.023173861262791133,-87.11444229593742,3490.99998677409,-6.214492934028982
3400,6,6,0.09297285432041809,-202.42173820960775,3650.999962800791,137.02214945572203,2.856894939142588,-9887.87418845181,3503.6594272893262,121.71269785028562,-0.05639117274802371,202.102800651221,3942.9999999999995,-20.24759349423647
